DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-23 15:03:52,3,6,0,1061.667,96.131,3,116,348,0,0,17.667,43.5
2025-10-23 15:03:54,3,9,0,990.667,84.619,4.5,116,522,0,0,1.889,9.778
2025-10-23 15:03:56,3,3,0,991.333,10.339,1.5,116,174,0,0,2.333,9
2025-10-23 15:03:58,3,6,0,999.667,39.622,3,116,348,0,0,2.333,10.833
2025-10-23 15:04:00,3,6,0,1053.167,57.363,3,116,348,0,0,2,10.5
2025-10-23 15:04:02,3,6,0,1006.833,30.569,3,116,348,0,0,2,10.333
2025-10-23 15:04:04,3,6,0,1045.167,45.809,3,116,348,0,0,2.833,11.333
2025-10-23 15:04:06,3,6,0,1013,19.553,3,116,348,0,0,2,10.833
2025-10-23 15:04:08,3,6,0,939.333,48.866,3,116,348,0,0,2,10.167
2025-10-23 15:04:10,4,6,0,1023,36.442,3,116,348,0,0,2.5,12
2025-10-23 15:04:12,6,10,0,1007.7,47.373,5,116,580,0,0,2.2,11.2
2025-10-23 15:04:14,6,13,0,1036.154,73.51,6.5,116,754,0,0,1.769,10.538
2025-10-23 15:04:16,6,11,0,1058.727,40.623,5.5,116,638,0,0,1.818,10.364
2025-10-23 15:04:18,6,7,0,996.286,45.662,3.5,116,406,0,0,2,9.429
2025-10-23 15:04:20,6,12,0,1010.833,48.464,6,116,696,0,0,1.75,10.083
2025-10-23 15:04:22,6,12,0,1001,53.232,6,116,696,0,0,2.167,12.083
2025-10-23 15:04:24,6,12,0,1049.583,63.873,6,116,696,0,0,1.75,9.333
2025-10-23 15:04:26,6,12,0,1025.833,60.396,6,116,696,0,0,1.75,9.25
2025-10-23 15:04:28,6,12,0,1045.083,68.629,6,116,696,0,0,2,10.25
2025-10-23 15:04:30,6,12,0,1039.333,59.669,6,116,696,0,0,1.75,10.583
2025-10-23 15:04:32,9,15,0,1024.6,58.55,7.5,116,870,0,0,2.2,9.6
2025-10-23 15:04:34,9,17,0,997.941,75.838,8.5,116,986,0,0,1.706,9.353
2025-10-23 15:04:36,9,17,0,1019.588,64.809,8.5,116,986,0,0,1.471,7.471
2025-10-23 15:04:38,9,18,0,1026.611,63.226,9,116,1044,0,0,1.333,8.222
2025-10-23 15:04:40,9,17,0,1012.824,74.061,8.5,116,986,0,0,1.765,8.824
2025-10-23 15:04:42,9,18,0,1031.778,63.107,9,116,1044,0,0,1.444,6.833
2025-10-23 15:04:44,9,18,0,1015.556,68.251,9,116,1044,0,0,1.278,7.111
2025-10-23 15:04:46,9,18,0,1017.222,61.433,9,116,1044,0,0,1.5,7.556
2025-10-23 15:04:48,9,18,0,992.611,60.198,9,116,1044,0,0,1.667,7.944
2025-10-23 15:04:50,9,18,0,1007.778,50.947,9,116,1044,0,0,1.833,7.778
2025-10-23 15:04:52,10,8,0,962.125,49.149,4,116,464,0,0,1.625,8.125
2025-10-23 15:04:54,12,25,0,1023.44,67.387,12.5,116,1450,0,0,1.52,8.24
2025-10-23 15:04:56,12,23,0,1011.435,77.598,11.5,116,1334,0,0,1.565,9.087
2025-10-23 15:04:58,12,24,0,1018.583,70.004,12,116,1392,0,0,1.417,7.042
2025-10-23 15:05:00,12,25,0,986.12,78.93,12.5,116,1450,0,0,1.52,7.28
2025-10-23 15:05:02,12,23,0,1016.217,76.019,11.5,116,1334,0,0,1.522,7.565
2025-10-23 15:05:04,12,25,0,1025.52,64.511,12.5,116,1450,0,0,1.48,7.44
2025-10-23 15:05:06,12,23,0,1025.478,64.274,11.5,116,1334,0,0,1.348,7.696
2025-10-23 15:05:08,12,22,0,1008.455,61.79,11,116,1276,0,0,1.5,7.682
2025-10-23 15:05:10,12,24,0,994.125,58.283,12,116,1392,0,0,1.625,7.792
2025-10-23 15:05:12,13,24,0,1022.458,68.591,12,116,1392,0,0,1.5,7.458
2025-10-23 15:05:14,15,30,0,1042.933,64.919,15,116,1740,0,0,1.467,7.2
2025-10-23 15:05:16,15,28,0,1010.143,54.444,14,116,1624,0,0,1.25,6.536
2025-10-23 15:05:18,15,31,0,989.774,47.51,15.5,116,1798,0,0,1.452,7.355
2025-10-23 15:05:20,15,30,0,993.5,67.114,15,116,1740,0,0,1.267,6.367
2025-10-23 15:05:22,15,30,0,1009.6,66.085,15,116,1740,0,0,1.333,6.733
2025-10-23 15:05:26,15,29,0,1001.31,62.656,14.5,116,1682,0,0,1.31,7.276
2025-10-23 15:05:28,15,29,0,1003.586,61.653,14.5,116,1682,0,0,1.172,6.207
2025-10-23 15:05:30,15,30,0,1025.5,53.7,15,115.9,1738.5,0,0,1.3,6.233
2025-10-23 15:05:32,15,30,0,1003.733,70.801,15,116,1740,0,0,1.167,6.433
2025-10-23 15:05:34,18,29,0,1006.655,80.648,14.5,116,1682,0,0,1.379,6.517
2025-10-23 15:05:36,18,35,0,1014.514,67.896,17.5,116,2030,0,0,1.343,6.514
2025-10-23 15:05:38,18,36,0,1037.5,71.015,18,116,2088,0,0,1.25,6.278
2025-10-23 15:05:40,18,37,0,1003.081,70.809,18.5,116,2146,0,0,1.297,6.676
2025-10-23 15:05:42,18,36,0,1019.639,60.824,18,116,2088,0,0,1.25,7.167
2025-10-23 15:05:44,18,36,0,1016.611,63.381,18,116,2088,0,0,1.333,6.278
2025-10-23 15:05:46,18,34,0,1006.5,60.1,17,116,1972,0,0,1.471,6.853
2025-10-23 15:05:48,18,36,0,1002.056,62.039,18,116,2088,0,0,1.361,6.667
2025-10-23 15:05:50,18,35,0,1002.8,59.943,17.5,116,2030,0,0,1.4,6.629
2025-10-23 15:05:52,18,35,0,1009.457,79.511,17.5,116,2030,0,0,1.371,6.343
2025-10-23 15:05:54,21,36,0,997.139,57.978,18,116,2088,0,0,1.444,7.194
2025-10-23 15:05:56,21,42,0,1022.929,63.015,21,116,2436,0,0,1.286,6.357
2025-10-23 15:05:58,21,42,0,988.976,73.78,21,116,2436,0,0,1.405,7.286
2025-10-23 15:06:00,21,11,0,1016.909,50.19,5.5,116,638,0,0,1.455,8.364
2025-10-23 15:06:02,21,41,0,1004.927,70.964,20.5,116,2378,0,0,1.659,8.683
2025-10-23 15:06:04,21,44,0,994.682,68.04,22,116,2552,0,0,1.523,7.909
2025-10-23 15:06:06,21,40,0,1015.575,67.848,20,116,2320,0,0,1.3,6.225
2025-10-23 15:06:08,21,41,0,1005.268,58.037,20.5,116,2378,0,0,1.341,5.951
2025-10-23 15:06:10,21,40,0,1016.3,52.233,20,116,2320,0,0,1.375,6.075
2025-10-23 15:06:12,21,43,0,999.442,63.53,21.5,116,2494,0,0,1.395,5.93
2025-10-23 15:06:14,21,43,0,1006.372,66.124,21.5,116,2494,0,0,1.465,5.837
2025-10-23 15:06:16,24,44,0,1005.795,61.241,22,116,2552,0,0,1.159,5.75
2025-10-23 15:06:18,24,47,0,1018.362,62.376,23.5,116,2726,0,0,1.255,5.34
2025-10-23 15:06:20,24,46,0,1008.957,57.539,23,116,2668,0,0,1.304,5.826
2025-10-23 15:06:22,24,48,0,1011.542,68.276,24,116,2784,0,0,1.375,6.479
2025-10-23 15:06:24,24,48,0,999.625,59.636,24,116,2784,0,0,1.479,6.625
2025-10-23 15:06:26,24,47,0,1022.766,65.679,23.5,116,2726,0,0,1.66,6.553
2025-10-23 15:06:28,24,48,0,998.417,58.767,24,116,2784,0,0,1.396,5.833
2025-10-23 15:06:30,24,46,0,1012.761,56.242,23,116,2668,0,0,1.37,6.087
2025-10-23 15:06:32,24,48,0,1014.875,60.353,24,116,2784,0,0,1.5,6.5
2025-10-23 15:06:34,24,23,0,1005,67.575,11.5,116,1334,0,0,1.261,59.217
2025-10-23 15:06:36,25,47,0,1009.936,76.419,23.5,116,2726,0,0,1.17,5.511
2025-10-23 15:06:38,27,57,0,991.614,68.035,28.5,116,3306,0,0,1.298,5.544
2025-10-23 15:06:40,27,55,0,1002.764,75.047,27.5,116,3190,0,0,1.364,5.727
2025-10-23 15:06:42,27,53,0,994.925,65.248,26.5,116,3074,0,0,1.358,5.83
2025-10-23 15:06:44,27,52,0,1018.346,61.831,26,116,3016,0,0,1.423,6.404
2025-10-23 15:06:46,27,55,0,1004.2,67.002,27.5,116,3190,0,0,1.327,5.873
